,Global,Australia,France,Germany,India,Italy,Japan,South Korea,Spain,United Kingdom,United States
2017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,1.1356951850384935,1.1675278350055323,1.1872984592421536,1.1405088197521993,1.1798731224659968,1.1887686330830542,1.1089167798089967,1.1957359073982619,1.1692466239096486,1.1707404970981792,1.1130291530635559
2019,1.2762246060896398,1.3541898654056175,1.4310315248804033,1.3176053268328256,1.3858361567258404,1.442199343530079,1.2413191668277825,1.4867969197498374,1.384436751729457,1.3918531686282334,1.204557764232482
2020,1.4326117611494549,1.5476382006837506,1.6176945241092597,1.4450865364969179,1.5936742344362964,1.6221524986227023,1.335898486306713,1.6447880158298764,1.5499631660772635,1.5549441154784769,1.3568713452388754
2021,1.5764795188160499,1.6720800215910634,1.5345461752310798,1.376249819464117,1.7041377202783592,1.4894432560797757,1.2912792164569014,1.3460813244950742,1.4875250218086644,1.4671455768331938,1.6562213537973847
2022,1.7701891530347975,1.8950883850196005,1.6667108124808876,1.4611542028238467,1.9356515600072783,1.5976883846007646,1.355939366585044,1.3829791701782965,1.6082916385417454,1.5765783206168058,1.9160166479445238
2023,1.9769721726368048,2.1530510759047314,1.8739255050224308,1.5959911450690716,2.2122311204356206,1.787720772291769,1.4545200159277376,1.5231194775088708,1.7916102995666177,1.7527032829129747,2.1469554157725534
2024,2.2296602318774736,2.4739842797326843,2.1289229615196654,1.756977672280245,2.558470033411241,2.0204025100691774,1.5700139645505415,1.6918881048888517,2.0150311164638506,1.966899211364341,2.4301442116541843
2025,2.525219108342481,2.856567551277964,2.429407570305662,1.9406977220567447,2.9739458564767673,2.2931357123807015,1.6992015488085004,1.886258902903969,2.275623204177944,2.2161673749889,2.7626006716617426
2026,2.8272305866285645,3.254755721879624,2.7386676894300646,2.124008326579062,3.409129652395766,2.572392768142964,1.8256234385630392,2.0819212321811578,2.5411806817049842,2.469629975850945,3.1035279377612053
2027,3.122413343643028,3.6503863003386097,3.042883443547951,2.299399067535756,3.843984877518853,2.8458340692030344,1.9445030308760967,2.270617291145497,2.800103080491866,2.716276931926685,3.4378093620882724
2028,3.394447272279185,4.020184122799276,3.3247971935339073,2.4580984489535416,4.252441760949036,3.0982277629941284,2.050474307415214,2.4425230973283525,3.038220994668849,2.942724154298226,3.7467215986009896
2029,3.6271486857506927,4.340200865536483,3.56704538497448,2.5918277215922783,4.607334549449486,3.314406739453683,2.138685489323502,2.588191825593755,3.241560959030462,3.135831406319354,4.011563480681745
2030,3.8105834511056513,4.594731070317426,3.7586748673145167,2.6960290840471672,4.890479450730495,3.484986509352086,2.206773071987132,2.7021864772565802,3.4016384141081923,3.2876914915610556,4.220696333404242
