,Global,Denmark,United States,Germany,Sweden,Italy,United Kingdom,India,Spain,Canada,France,Turkey,Brazil
2017,0.910020895831421,0.9488735573780999,0.8740175086272715,0.942261360924745,0.8628594319447703,0.8677518478535986,0.9226675427524821,0.9236106041226438,0.8647222961133866,0.8799222769380027,0.9401782880700381,0.9063199211043905,0.8290181787381125
2018,0.9316196353883992,0.9613432686832197,0.9037927435251246,0.9563064134251574,0.8951111977196021,0.8989211611594194,0.9413287978854117,0.9420514795785304,0.8965625330887764,0.9083757837900583,0.954717808666141,0.9287719657732572,0.8686079946686349
2019,0.953243325337134,0.9736996191303292,0.9338999212836374,0.9702477512306699,0.927825770975423,0.9304937979422699,0.9599482739050033,0.960446444940952,0.9288425396404822,0.9370988754981817,0.9691578245455612,0.9512724964274752,0.9091631713482703
2020,0.9782060803185593,0.9878104588303152,0.9690213197182445,0.9861974748243474,0.9661159996191432,0.9673934012928966,0.9813662531082822,0.9816005745776024,0.9666030430965432,0.9705473078060105,0.9856875320882933,0.9772749098312273,0.9571247064056395
2021,1.0062378609863958,1.00346715221097,1.0089203414279906,1.0039300529302386,1.0097756576460897,1.0093991893028078,1.0053223655138903,1.0052546336358739,1.0096320438020925,1.0084724117728827,1.0040766003801191,1.0065083427161843,1.0124437015891317
2022,1.0281220143565215,1.0155561782806646,1.0404023069929846,1.017647210538519,1.0443417384503955,1.0426063703756276,1.0239567541789565,1.023649113130676,1.0436794720782792,1.0383438291711988,1.018309895690886,1.0293551458944667,1.0567046599065946
2023,1.054002893419614,1.0297067266356608,1.0780055690053747,1.033731179161725,1.0857595632905288,1.0823405961368038,1.0459196486796432,1.0453237966876276,1.084454185665689,1.073964312176732,1.0350081478285245,1.0564015929099075,1.1102640353334587
2024,1.0677253260918929,1.037147048676986,1.0981049627388995,1.042199936112962,1.107954802420253,1.1036095748082342,1.057532597309027,1.0567820104389511,1.106295376499348,1.0929782803259147,1.0438042419750342,1.0707537216047154,1.1391960358610382
2025,1.0866218896263267,1.047323751232348,1.1259643017650134,1.0537964136016393,1.1387831747897272,1.1331243898585106,1.0734886248813715,1.0725228335488024,1.1366214037980102,1.119304438520523,1.0558532616687955,1.090530444026676,1.1796425836150015
2026,1.1054767875242204,1.0574000966064205,1.1539697274282446,1.0652933363522183,1.1698466502059726,1.162833326823157,1.0893690373919052,1.0881861129662078,1.167166564093867,1.1457358344554467,1.0678037136846,1.1102783820654565,1.2206991116186592
2027,1.1244277140670682,1.0674512615763507,1.1823246076249512,1.0767760821138637,1.2013711096005664,1.1929522475235248,1.1052904285607532,1.1038869015683561,1.1981528951553857,1.1724643862049637,1.0797442211312005,1.130141571763567,1.2626683401509031
2028,1.1435634972293898,1.0775245398072013,1.2111644278563072,1.0882985546104837,1.2335087999519454,1.2236258912403828,1.1213273198661968,1.1196986882929545,1.2297297550337802,1.1996172051718816,1.0917308031114752,1.1502132035259411,1.3057625597972187
2029,1.162925097630038,1.087640905383028,1.2405556171919614,1.099884767810246,1.2663361179115034,1.2549261383238268,1.1375135306364863,1.1356547883672181,1.2619717927393637,1.2272558996332468,1.103788456073134,1.1705364758724246,1.3500970402844392
2030,1.182508026691805,1.097797228857614,1.2704966518656235,1.1115311983919474,1.2998539536202869,1.2868527095857307,1.1538446959475968,1.151750861886945,1.2948794316635988,1.2553780085454398,1.1159135411490981,1.1911069512881844,1.3956868566035276
